,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
3322,10019643,Kepler-163 b,K00471.02,CONFIRMED,0.0116,5395.0,1.071,2,170.0,1.36,LS+MCMC,0.0,7.81100952
3323,10123064,Kepler-565 b,K00472.01,CONFIRMED,0.034313,5873.0,0.843,1,318.0,3.16,LS+MCMC,0.0,4.243748097
3326,8015907,Kepler-585 b,K00517.01,CONFIRMED,0.025966,5461.0,0.897,1,487.0,2.54,LS+MCMC,0.0,2.752359689
3327,8017703,Kepler-174 b,K00518.01,CONFIRMED,0.029383,4859.0,0.651,3,94.0,2.09,LS+MCMC,0.0,13.98177862
3328,8017703,Kepler-174 c,K00518.02,CONFIRMED,0.02192,4859.0,0.651,3,30.0,1.56,LS+MCMC,0.0,44.0003975
3329,8017703,Kepler-174 d,K00518.03,CONFIRMED,0.032169,4859.0,0.651,3,5.0,2.29,LS+MCMC,0.0,247.354914
3333,8120608,Kepler-186 c,K00571.01,CONFIRMED,0.023657,3751.0,0.443,5,179.0,1.14,LS+MCMC,0.0,7.26731094
3334,8120608,Kepler-186 d,K00571.02,CONFIRMED,0.026639,3751.0,0.443,5,99.0,1.29,LS+MCMC,0.0,13.3430025
3335,8120608,Kepler-186 b,K00571.03,CONFIRMED,0.020036,3751.0,0.443,5,332.0,0.97,LS+MCMC,0.0,3.886795001
3336,8120608,Kepler-186 e,K00571.04,CONFIRMED,0.023714,3751.0,0.443,5,54.0,1.15,LS+MCMC,0.0,22.40777833
3340,6850504,Kepler-20 A d,K00070.03,CONFIRMED,0.02568,5465.0,0.925,5,16.0,2.59,LS+MCMC,0.0,77.6114427
3341,6508221,Kepler-152 b,K00416.01,CONFIRMED,0.038279,5176.0,0.738,4,74.0,3.08,LS+MCMC,0.0,18.20795835
3344,10460984,Kepler-164 c,K00474.01,CONFIRMED,0.023673,5888.0,1.097,4,122.0,2.84,LS+MCMC,0.0,10.94577783
3345,10460984,Kepler-164 d,K00474.02,CONFIRMED,0.022565,5888.0,1.097,4,47.0,2.7,LS+MCMC,0.0,28.9869016
3347,10460984,Kepler-164 b,K00474.04,CONFIRMED,0.013596,5888.0,1.097,4,250.0,1.63,LS+MCMC,0.0,5.03505665
3349,8022244,Kepler-175 b,K00519.01,CONFIRMED,0.023415,6063.0,1.001,2,109.0,2.56,LS+MCMC,0.0,11.90352088
3350,2571238,Kepler-19 b,K00084.01,CONFIRMED,0.023784,5546.0,0.81,1,144.0,2.1,LS+MCMC,0.0,9.286964466
3351,8022244,Kepler-175 c,K00519.02,CONFIRMED,0.025247,6063.0,1.001,2,40.0,2.76,LS+MCMC,0.0,34.0350605
3352,8037145,Kepler-176 c,K00520.01,CONFIRMED,0.028553,4963.0,0.826,4,102.0,2.58,LS+MCMC,0.0,12.75934489
3353,8037145,Kepler-176 b,K00520.02,CONFIRMED,0.017857,4963.0,0.826,4,232.0,1.61,LS+MCMC,0.0,5.433132902
3355,8193178,Kepler-187 c,K00572.01,CONFIRMED,0.02134,6112.0,1.233,2,126.0,2.87,LS+MCMC,0.0,10.64021008
3356,8193178,Kepler-187 b,K00572.02,CONFIRMED,0.01068,6112.0,1.233,2,262.0,1.44,LS+MCMC,0.0,4.93883135
